Geographic Area,2017,2018,2019
"Pike County, Georgia",18204,18647,18962
"Polk County, Georgia",41818,42346,42613
"Pulaski County, Georgia",11181,11080,11137
"Putnam County, Georgia",21692,21820,22119
"Quitman County, Georgia",2333,2260,2299
"Rabun County, Georgia",16545,16857,17137
"Randolph County, Georgia",6969,6812,6778
"Richmond County, Georgia",201673,201667,202518
"Rockdale County, Georgia",89843,90505,90896
"Schley County, Georgia",5235,5230,5257
"Screven County, Georgia",13956,13960,13966
"Seminole County, Georgia",8253,8270,8090
"Spalding County, Georgia",65358,66107,66703
"Stephens County, Georgia",25736,26007,25925
"Stewart County, Georgia",6314,6435,6621
"Sumter County, Georgia",29901,29796,29524
"Talbot County, Georgia",6256,6290,6195
"Taliaferro County, Georgia",1613,1612,1537
"Tattnall County, Georgia",25409,25485,25286
"Taylor County, Georgia",8110,8020,8020
"Telfair County, Georgia",15929,15974,15860
"Terrell County, Georgia",8695,8587,8531
"Thomas County, Georgia",44619,44334,44451
"Tift County, Georgia",40431,40542,40644
"Toombs County, Georgia",26859,26902,26830
"Towns County, Georgia",11553,11866,12037
"Treutlen County, Georgia",6746,6813,6901
"Troup County, Georgia",70062,70078,69922
"Turner County, Georgia",7895,7908,7985
"Twiggs County, Georgia",8253,8174,8120
"Union County, Georgia",23376,23905,24511
"Upson County, Georgia",26201,26185,26320
"Walker County, Georgia",68999,69443,69761
"Walton County, Georgia",91296,93202,94593
"Ware County, Georgia",35668,35587,35734
"Warren County, Georgia",5265,5247,5254
"Washington County, Georgia",20311,20410,20374
"Wayne County, Georgia",29797,29810,29927
"Webster County, Georgia",2589,2606,2607
"Wheeler County, Georgia",7960,7898,7855
"White County, Georgia",29445,29988,30798
"Whitfield County, Georgia",104234,104249,104628
"Wilcox County, Georgia",8791,8827,8635
"Wilkes County, Georgia",9860,9864,9777
"Wilkinson County, Georgia",8954,9043,8954
"Worth County, Georgia",20528,20302,20247
"Hawaii County, Hawaii",199981,201509,201513
"Honolulu County, Hawaii",986353,979858,974563
"Kalawao County, Hawaii",86,86,86
"Kauai County, Hawaii",71827,72168,72293
"Maui County, Hawaii",166146,166972,167417
"Ada County, Idaho",456548,468764,481587
"Adams County, Idaho",4127,4234,4294
"Bannock County, Idaho",85482,86674,87808
"Bear Lake County, Idaho",6023,6044,6125
"Benewah County, Idaho",9157,9218,9298
"Bingham County, Idaho",45884,46129,46811
"Blaine County, Idaho",22373,22771,23021
"Boise County, Idaho",7347,7655,7831
"Bonner County, Idaho",43654,44705,45739
"Bonneville County, Idaho",114488,116444,119062
"Boundary County, Idaho",11965,12016,12245
"Butte County, Idaho",2585,2587,2597
"Camas County, Idaho",1096,1121,1106
"Canyon County, Idaho",216858,223236,229849
"Caribou County, Idaho",6973,7037,7155
"Cassia County, Idaho",23650,23791,24030
"Clark County, Idaho",879,851,845
"Clearwater County, Idaho",8646,8758,8756
"Custer County, Idaho",4135,4250,4315
"Elmore County, Idaho",26881,27362,27511
"Franklin County, Idaho",13467,13704,13876
"Fremont County, Idaho",13122,13155,13099
"Gem County, Idaho",17311,17587,18112
"Gooding County, Idaho",15121,15116,15179
"Idaho County, Idaho",16373,16476,16667
"Jefferson County, Idaho",28439,29405,29871
"Jerome County, Idaho",23768,24066,24412
"Kootenai County, Idaho",157320,161209,165697
"Latah County, Idaho",39741,39829,40108
"Lemhi County, Idaho",7829,7932,8027
