Geographic Area,2017,2018,2019
"El Paso County, Texas",837401,836825,839238
"Erath County, Texas",41723,42223,42698
"Falls County, Texas",17340,17231,17297
"Fannin County, Texas",34550,35185,35514
"Fayette County, Texas",25119,25278,25346
"Fisher County, Texas",3874,3821,3830
"Floyd County, Texas",5830,5783,5712
"Foard County, Texas",1202,1191,1155
"Fort Bend County, Texas",767712,788081,811688
"Franklin County, Texas",10798,10778,10725
"Freestone County, Texas",19649,19789,19717
"Frio County, Texas",19895,20211,20306
"Gaines County, Texas",20553,20820,21492
"Galveston County, Texas",334633,337858,342139
"Garza County, Texas",6490,6243,6229
"Gillespie County, Texas",26483,26702,26988
"Glasscock County, Texas",1363,1391,1409
"Goliad County, Texas",7552,7588,7658
"Gonzales County, Texas",20742,20781,20837
"Gray County, Texas",22106,22051,21886
"Grayson County, Texas",131152,133787,136212
"Gregg County, Texas",122852,123251,123945
"Grimes County, Texas",27955,28291,28880
"Guadalupe County, Texas",159639,163276,166847
"Hale County, Texas",33954,33631,33406
"Hall County, Texas",3042,3025,2964
"Hamilton County, Texas",8407,8477,8461
"Hansford County, Texas",5485,5470,5399
"Hardeman County, Texas",3959,3929,3933
"Hardin County, Texas",57117,57107,57602
"Harris County, Texas",4657972,4680045,4713325
"Harrison County, Texas",66468,66584,66553
"Hartley County, Texas",5716,5611,5576
"Haskell County, Texas",5699,5699,5658
"Hays County, Texas",214726,222706,230191
"Hemphill County, Texas",3929,3845,3819
"Henderson County, Texas",80954,82103,82737
"Hidalgo County, Texas",856249,862298,868707
"Hill County, Texas",35703,36165,36649
"Hockley County, Texas",22977,22971,23021
"Hood County, Texas",57973,60177,61643
"Hopkins County, Texas",36451,36738,37084
"Houston County, Texas",23089,23068,22968
"Howard County, Texas",35817,35925,36664
"Hudspeth County, Texas",4604,4788,4886
"Hunt County, Texas",94046,96606,98594
"Hutchinson County, Texas",21343,21119,20938
"Irion County, Texas",1512,1516,1536
"Jack County, Texas",8828,8825,8935
"Jackson County, Texas",14806,14834,14760
"Jasper County, Texas",35549,35769,35529
"Jeff Davis County, Texas",2260,2243,2274
"Jefferson County, Texas",256041,253234,251565
"Jim Hogg County, Texas",5212,5192,5200
"Jim Wells County, Texas",40920,40756,40482
"Johnson County, Texas",167012,171121,175817
"Jones County, Texas",19827,19866,20083
"Karnes County, Texas",15556,15660,15601
"Kaufman County, Texas",122628,128279,136154
"Kendall County, Texas",43969,45603,47431
"Kenedy County, Texas",427,437,404
"Kent County, Texas",759,726,762
"Kerr County, Texas",51892,52415,52600
"Kimble County, Texas",4385,4338,4337
"King County, Texas",289,276,272
"Kinney County, Texas",3711,3692,3667
"Kleberg County, Texas",30752,30722,30680
"Knox County, Texas",3674,3662,3664
"Lamar County, Texas",49568,49729,49859
"Lamb County, Texas",13165,13103,12893
"Lampasas County, Texas",20861,21134,21428
"La Salle County, Texas",7530,7493,7520
"Lavaca County, Texas",20028,20114,20154
"Lee County, Texas",17109,17097,17239
"Leon County, Texas",17235,17260,17404
"Liberty County, Texas",83597,85802,88219
"Limestone County, Texas",23391,23343,23437
"Lipscomb County, Texas",3364,3342,3233
"Live Oak County, Texas",12146,12148,12207
"Llano County, Texas",21167,21600,21795
"Loving County, Texas",133,148,169
"Lubbock County, Texas",305413,307627,310569
"Lynn County, Texas",5832,5848,5951
"McCulloch County, Texas",7941,7982,7984
"McLennan County, Texas",251631,254196,256623
"McMullen County, Texas",765,731,743
"Madison County, Texas",14251,14363,14284
"Marion County, Texas",10057,9915,9854
"Martin County, Texas",5531,5681,5771
"Mason County, Texas",4179,4259,4274
"Matagorda County, Texas",36805,36566,36643
"Maverick County, Texas",58111,58276,58722
"Medina County, Texas",50183,50862,51584
"Menard County, Texas",2110,2120,2138
"Midland County, Texas",165318,172505,176832
"Milam County, Texas",24939,25045,24823
"Mills County, Texas",4917,4883,4873
"Mitchell County, Texas",8215,8525,8545
"Montague County, Texas",19399,19584,19818
"Montgomery County, Texas",571615,589770,607391
"Moore County, Texas",21604,21083,20940
"Morris County, Texas",12375,12303,12388
"Motley County, Texas",1226,1232,1200
"Nacogdoches County, Texas",65317,65161,65204
"Navarro County, Texas",48739,49536,50113
"Newton County, Texas",13908,13751,13595
"Nolan County, Texas",14854,14799,14714
"Nueces County, Texas",361235,362026,362294
"Ochiltree County, Texas",9996,9866,9836
"Oldham County, Texas",2104,2118,2112
"Orange County, Texas",84971,83474,83396
"Palo Pinto County, Texas",28544,28874,29189
"Panola County, Texas",23211,23142,23194
"Parker County, Texas",133501,138070,142878
"Parmer County, Texas",9710,9719,9605
"Pecos County, Texas",15634,15709,15823
"Polk County, Texas",48990,49955,51353
"Potter County, Texas",120340,118711,117415
"Presidio County, Texas",7100,6856,6704
"Rains County, Texas",11730,12147,12514
"Randall County, Texas",134015,135691,137713
"Reagan County, Texas",3712,3736,3849
"Real County, Texas",3417,3477,3452
"Red River County, Texas",12164,12143,12023
"Reeves County, Texas",15166,15513,15976
"Refugio County, Texas",7180,7000,6948
"Roberts County, Texas",941,898,854
"Robertson County, Texas",17153,17219,17074
"Rockwall County, Texas",96824,100546,104915
"Runnels County, Texas",10282,10178,10264
"Rusk County, Texas",54213,54301,54406
"Sabine County, Texas",10417,10576,10542
"San Augustine County, Texas",8302,8254,8237
"San Jacinto County, Texas",28231,28717,28859
"San Patricio County, Texas",67210,66671,66730
"San Saba County, Texas",5996,6060,6055
"Schleicher County, Texas",2989,2880,2793
"Scurry County, Texas",17003,16812,16703
"Shackelford County, Texas",3289,3256,3265
"Shelby County, Texas",25225,25307,25274
"Sherman County, Texas",3046,3101,3022
"Smith County, Texas",227195,229749,232751
"Somervell County, Texas",8855,9030,9128
"Starr County, Texas",64130,64249,64633
"Stephens County, Texas",9287,9405,9366
"Sterling County, Texas",1287,1304,1291
"Stonewall County, Texas",1376,1352,1350
"Sutton County, Texas",3792,3752,3776
"Swisher County, Texas",7446,7413,7397
"Tarrant County, Texas",2056451,2081446,2102515
"Taylor County, Texas",136634,137294,138034
"Terrell County, Texas",814,810,776
"Terry County, Texas",12429,12344,12337
"Throckmorton County, Texas",1510,1504,1501
"Titus County, Texas",32619,32743,32750
"Tom Green County, Texas",117566,118014,119200
"Travis County, Texas",1227585,1246572,1273954
"Trinity County, Texas",14677,14688,14651
"Tyler County, Texas",21517,21609,21672
"Upshur County, Texas",41069,41179,41753
"Upton County, Texas",3658,3637,3657
"Uvalde County, Texas",27043,26787,26741
"Val Verde County, Texas",49028,48988,49025
"Van Zandt County, Texas",55163,55966,56590
"Victoria County, Texas",92045,91878,92084
"Walker County, Texas",72816,73136,72971
"Waller County, Texas",51717,53512,55246
"Ward County, Texas",11383,11709,11998
"Washington County, Texas",34861,35496,35882
"Webb County, Texas",273691,275120,276652
"Wharton County, Texas",41837,41499,41556
"Wheeler County, Texas",5300,5158,5056
"Wichita County, Texas",131689,131807,132230
"Wilbarger County, Texas",12683,12777,12769
"Willacy County, Texas",21508,21450,21358
"Williamson County, Texas",546251,566463,590551
"Wilson County, Texas",49211,50196,51070
"Winkler County, Texas",7605,7778,8010
"Wise County, Texas",65848,68284,69984
"Wood County, Texas",44263,45157,45539
"Yoakum County, Texas",8557,8590,8713
"Young County, Texas",17922,17986,18010
"Zapata County, Texas",14254,14149,14179
"Zavala County, Texas",11957,11969,11840
"Beaver County, Utah",6421,6625,6710
"Box Elder County, Utah",53977,54906,56046
"Cache County, Utah",124236,126400,128289
"Carbon County, Utah",20131,20233,20463
"Daggett County, Utah",1013,974,950
"Davis County, Utah",346658,351101,355481
"Duchesne County, Utah",19868,19943,19938
"Emery County, Utah",10006,10003,10012
"Garfield County, Utah",5025,5002,5051
"Grand County, Utah",9589,9686,9754
"Iron County, Utah",50761,52678,54839
"Juab County, Utah",11293,11629,12017
"Kane County, Utah",7520,7677,7886
"Millard County, Utah",12821,12987,13188
"Morgan County, Utah",11829,11956,12124
"Piute County, Utah",1407,1438,1479
"Rich County, Utah",2395,2456,2483
"Salt Lake County, Utah",1136719,1148692,1160437
"San Juan County, Utah",15277,15358,15308
"Sanpete County, Utah",29921,30503,30939
"Sevier County, Utah",21292,21497,21620
"Summit County, Utah",41330,41890,42145
"Tooele County, Utah",67486,69989,72259
"Uintah County, Utah",35228,35405,35734
"Utah County, Utah",606742,621520,636235
"Wasatch County, Utah",31890,33067,34091
"Washington County, Utah",165929,171567,177556
"Wayne County, Utah",2702,2671,2711
"Weber County, Utah",251576,255697,260213
"Addison County, Vermont",36900,36873,36777
"Bennington County, Vermont",35675,35520,35470
"Caledonia County, Vermont",30141,30236,29993
"Chittenden County, Vermont",163031,163571,163774
"Essex County, Vermont",6184,6234,6163
"Franklin County, Vermont",48969,49258,49402
"Grand Isle County, Vermont",6975,7110,7235
"Lamoille County, Vermont",25360,25295,25362
"Orange County, Vermont",28964,28888,28892
"Orleans County, Vermont",26811,26859,27037
"Rutland County, Vermont",59006,58596,58191
"Washington County, Vermont",58253,58079,58409
"Windham County, Vermont",42851,42635,42222
"Windsor County, Vermont",55224,55204,55062
"Accomack County, Virginia",32685,32581,32316
"Albemarle County, Virginia",107768,108377,109330
"Alleghany County, Virginia",15128,14986,14860
"Amelia County, Virginia",12980,13057,13145
"Amherst County, Virginia",31863,31684,31605
"Appomattox County, Virginia",15723,15881,15911
"Arlington County, Virginia",234647,236025,236842
"Augusta County, Virginia",75177,75535,75558
"Bath County, Virginia",4266,4253,4147
"Bedford County, Virginia",78378,78882,78997
"Bland County, Virginia",6354,6303,6280
"Botetourt County, Virginia",33313,33352,33419
"Brunswick County, Virginia",16570,16336,16231
"Buchanan County, Virginia",21604,21369,21004
"Buckingham County, Virginia",17038,17043,17148
"Campbell County, Virginia",55326,55137,54885
"Caroline County, Virginia",30432,30751,30725
"Carroll County, Virginia",29812,29741,29791
"Charles City County, Virginia",7026,7000,6963
"Charlotte County, Virginia",12077,11944,11880
"Chesterfield County, Virginia",343276,348281,352802
"Clarke County, Virginia",14454,14511,14619
"Craig County, Virginia",5062,5102,5131
"Culpeper County, Virginia",51235,51795,52605
"Cumberland County, Virginia",9828,9857,9932
"Dickenson County, Virginia",14722,14526,14318
"Dinwiddie County, Virginia",28630,28633,28544
"Essex County, Virginia",10969,10896,10953
"Fairfax County, Virginia",1148728,1148463,1147532
"Fauquier County, Virginia",69547,70642,71222
"Floyd County, Virginia",15758,15790,15749
"Fluvanna County, Virginia",26480,26898,27270
"Franklin County, Virginia",56315,56191,56042
"Frederick County, Virginia",86456,88173,89313
"Giles County, Virginia",16754,16799,16720
"Gloucester County, Virginia",37295,37341,37348
"Goochland County, Virginia",22703,23219,23753
"Grayson County, Virginia",15697,15635,15550
"Greene County, Virginia",19593,19692,19819
"Greensville County, Virginia",11569,11432,11336
"Halifax County, Virginia",34575,34181,33911
"Hanover County, Virginia",105674,106886,107766
"Henrico County, Virginia",327559,328993,330818
"Henry County, Virginia",51346,51050,50557
"Highland County, Virginia",2217,2208,2190
"Isle of Wight County, Virginia",36571,36972,37109
"James City County, Virginia",75274,76033,76523
"King and Queen County, Virginia",6999,7045,7025
"King George County, Virginia",26337,26612,26836
"King William County, Virginia",16684,16919,17148
"Lancaster County, Virginia",10725,10696,10603
"Lee County, Virginia",23900,23656,23423
"Loudoun County, Virginia",397049,405522,413538
"Louisa County, Virginia",35912,36784,37591
"Lunenburg County, Virginia",12333,12215,12196
"Madison County, Virginia",13212,13248,13261
"Mathews County, Virginia",8709,8792,8834
"Mecklenburg County, Virginia",30693,30624,30587
"Middlesex County, Virginia",10625,10733,10582
"Montgomery County, Virginia",98142,98532,98535
"Nelson County, Virginia",14800,14862,14930
"New Kent County, Virginia",21638,22317,23091
"Northampton County, Virginia",11872,11761,11710
"Northumberland County, Virginia",12271,12168,12095
"Nottoway County, Virginia",15432,15400,15232
"Orange County, Virginia",35870,36598,37051
"Page County, Virginia",23784,23972,23902
"Patrick County, Virginia",17713,17663,17608
"Pittsylvania County, Virginia",61309,60901,60354
"Powhatan County, Virginia",28716,29210,29652
"Prince Edward County, Virginia",22678,22906,22802
"Prince George County, Virginia",38006,37993,38353
"Prince William County, Virginia",463069,466235,470335
"Pulaski County, Virginia",34225,34060,34027
"Rappahannock County, Virginia",7393,7345,7370
"Richmond County, Virginia",8889,8970,9023
"Roanoke County, Virginia",93939,94086,94186
"Rockbridge County, Virginia",22668,22761,22573
"Rockingham County, Virginia",80397,81261,81948
"Russell County, Virginia",27046,26795,26586
"Scott County, Virginia",21893,21672,21566
"Shenandoah County, Virginia",43276,43473,43616
"Smyth County, Virginia",30731,30454,30104
"Southampton County, Virginia",17841,17713,17631
"Spotsylvania County, Virginia",132739,134011,136215
"Stafford County, Virginia",146792,149824,152882
"Surry County, Virginia",6503,6463,6422
"Sussex County, Virginia",11379,11241,11159
"Tazewell County, Virginia",41303,41058,40595
"Warren County, Virginia",39409,40006,40164
"Washington County, Virginia",54179,54067,53740
"Westmoreland County, Virginia",17725,17817,18015
"Wise County, Virginia",38574,37875,37383
"Wythe County, Virginia",28829,28698,28684
"York County, Virginia",68022,67976,68280
"Alexandria city, Virginia",159215,159069,159428
"Bristol city, Virginia",16880,16685,16762
"Buena Vista city, Virginia",6482,6494,6478
"Charlottesville city, Virginia",47463,47506,47266
"Chesapeake city, Virginia",240143,242359,244835
"Colonial Heights city, Virginia",17424,17504,17370
"Covington city, Virginia",5576,5578,5538
"Danville city, Virginia",41044,40649,40044
"Emporia city, Virginia",5467,5363,5346
"Fairfax city, Virginia",23435,23725,24019
"Falls Church city, Virginia",14245,14467,14617
"Franklin city, Virginia",8145,8089,7967
"Fredericksburg city, Virginia",28498,29171,29036
"Galax city, Virginia",6484,6348,6347
"Hampton city, Virginia",134725,134330,134510
"Harrisonburg city, Virginia",53644,53488,53016
"Hopewell city, Virginia",22505,22478,22529
"Lexington city, Virginia",7154,7297,7446
"Lynchburg city, Virginia",80523,81309,82168
"Manassas city, Virginia",41141,41046,41085
"Manassas Park city, Virginia",17149,17718,17478
"Martinsville city, Virginia",12823,12627,12554
"Newport News city, Virginia",179447,178523,179225
"Norfolk city, Virginia",244543,243585,242742
"Norton city, Virginia",3918,3972,3981
"Petersburg city, Virginia",31137,31056,31346
"Poquoson city, Virginia",12039,12169,12271
"Portsmouth city, Virginia",94838,94750,94398
"Radford city, Virginia",17484,18101,18249
"Richmond city, Virginia",227230,229221,230436
"Roanoke city, Virginia",98986,99009,99143
"Salem city, Virginia",25373,25293,25301
"Staunton city, Virginia",24325,24562,24932
"Suffolk city, Virginia",90108,90975,92108
"Virginia Beach city, Virginia",449896,449849,449974
"Waynesboro city, Virginia",22242,22531,22630
"Williamsburg city, Virginia",14994,15002,14954
"Winchester city, Virginia",28178,27962,28078
"Adams County, Washington",19651,19736,19983
"Asotin County, Washington",22509,22616,22582
"Benton County, Washington",198200,201286,204390
"Chelan County, Washington",76298,76752,77200
"Clallam County, Washington",75637,76551,77331
"Clark County, Washington",474381,481427,488241
"Columbia County, Washington",4002,4039,3985
"Cowlitz County, Washington",106805,108752,110593
"Douglas County, Washington",42027,42749,43429
"Ferry County, Washington",7576,7638,7627
"Franklin County, Washington",91896,94003,95222
"Garfield County, Washington",2215,2240,2225
"Grant County, Washington",95357,96672,97733
"Grays Harbor County, Washington",72490,73801,75061
"Island County, Washington",83250,84227,85141
"Jefferson County, Washington",31210,31746,32221
"King County, Washington",2203836,2228364,2252782
"Kitsap County, Washington",266289,269276,271473
"Kittitas County, Washington",46176,47358,47935
"Klickitat County, Washington",21751,22136,22425
"Lewis County, Washington",78320,79569,80707
"Lincoln County, Washington",10585,10726,10939
"Mason County, Washington",63740,65380,66768
"Okanogan County, Washington",41915,42117,42243
"Pacific County, Washington",21742,22074,22471
"Pend Oreille County, Washington",13358,13586,13724
"Pierce County, Washington",879654,893756,904980
"San Juan County, Washington",16729,17124,17582
"Skagit County, Washington",125860,127835,129205
"Skamania County, Washington",11809,11919,12083
"Snohomish County, Washington",802089,813059,822083
"Spokane County, Washington",505623,513603,522798
"Stevens County, Washington",44636,45224,45723
"Thurston County, Washington",280269,286056,290536
"Wahkiakum County, Washington",4251,4415,4488
"Walla Walla County, Washington",60512,60615,60760
"Whatcom County, Washington",221410,225197,229247
"Whitman County, Washington",49382,49683,50104
"Yakima County, Washington",249922,250562,250873
"Barbour County, West Virginia",16515,16487,16441
"Berkeley County, West Virginia",115073,117236,119171
"Boone County, West Virginia",22369,21953,21457
"Braxton County, West Virginia",14217,14076,13957
"Brooke County, West Virginia",22373,22129,21939
"Cabell County, West Virginia",94452,93035,91945
"Calhoun County, West Virginia",7310,7217,7109
"Clay County, West Virginia",8693,8639,8508
"Doddridge County, West Virginia",8518,8556,8448
"Fayette County, West Virginia",43607,42982,42406
"Gilmer County, West Virginia",8042,7898,7823
"Grant County, West Virginia",11627,11630,11568
"Greenbrier County, West Virginia",35208,34792,34662
"Hampshire County, West Virginia",23386,23357,23175
"Hancock County, West Virginia",29383,29079,28810
"Hardy County, West Virginia",13849,13764,13776
"Harrison County, West Virginia",67905,67494,67256
"Jackson County, West Virginia",28908,28695,28576
"Jefferson County, West Virginia",56444,56890,57146
"Kanawha County, West Virginia",183385,180410,178124
"Lewis County, West Virginia",16178,16017,15907
"Lincoln County, West Virginia",20872,20583,20409
"Logan County, West Virginia",33028,32609,32019
"McDowell County, West Virginia",18505,18221,17624
"Marion County, West Virginia",56349,56091,56072
"Marshall County, West Virginia",31252,30821,30531
"Mason County, West Virginia",26806,26752,26516
"Mercer County, West Virginia",59869,59202,58758
"Mineral County, West Virginia",27223,26953,26868
"Mingo County, West Virginia",24142,23851,23424
"Monongalia County, West Virginia",105782,105651,105612
"Monroe County, West Virginia",13382,13289,13275
"Morgan County, West Virginia",17716,17830,17884
"Nicholas County, West Virginia",25125,24835,24496
"Ohio County, West Virginia",42001,41705,41411
"Pendleton County, West Virginia",6973,6984,6969
"Pleasants County, West Virginia",7455,7505,7460
"Pocahontas County, West Virginia",8493,8408,8247
"Preston County, West Virginia",33826,33553,33432
"Putnam County, West Virginia",56692,56642,56450
"Raleigh County, West Virginia",75066,74172,73361
"Randolph County, West Virginia",28894,28814,28695
"Ritchie County, West Virginia",9851,9748,9554
"Roane County, West Virginia",14004,13918,13688
"Summers County, West Virginia",12882,12672,12573
"Taylor County, West Virginia",16914,16828,16695
"Tucker County, West Virginia",6992,6937,6839
"Tyler County, West Virginia",8800,8740,8591
"Upshur County, West Virginia",24555,24372,24176
"Wayne County, West Virginia",40215,39961,39402
"Webster County, West Virginia",8348,8274,8114
"Wetzel County, West Virginia",15433,15259,15065
"Wirt County, West Virginia",5786,5811,5821
"Wood County, West Virginia",85060,84180,83518
"Wyoming County, West Virginia",21271,20784,20394
"Adams County, Wisconsin",19900,20341,20220
"Ashland County, Wisconsin",15501,15587,15562
"Barron County, Wisconsin",45141,45150,45244
"Bayfield County, Wisconsin",15006,15026,15036
"Brown County, Wisconsin",261762,263165,264542
"Buffalo County, Wisconsin",13105,13114,13031
"Burnett County, Wisconsin",15295,15374,15414
"Calumet County, Wisconsin",49995,50132,50089
"Chippewa County, Wisconsin",63747,64109,64658
"Clark County, Wisconsin",34571,34705,34774
"Columbia County, Wisconsin",57244,57333,57532
"Crawford County, Wisconsin",16199,16265,16131
"Dane County, Wisconsin",537453,541948,546695
"Dodge County, Wisconsin",87705,87833,87839
"Door County, Wisconsin",27454,27589,27668
"Douglas County, Wisconsin",43328,43143,43150
"Dunn County, Wisconsin",44714,45091,45368
"Eau Claire County, Wisconsin",103582,104355,104646
"Florence County, Wisconsin",4335,4294,4295
"Fond du Lac County, Wisconsin",102417,103001,103403
"Forest County, Wisconsin",8969,8977,9004
"Grant County, Wisconsin",51728,51444,51439
"Green County, Wisconsin",36877,36924,36960
"Green Lake County, Wisconsin",18720,18849,18913
"Iowa County, Wisconsin",23676,23722,23678
"Iron County, Wisconsin",5675,5687,5687
"Jackson County, Wisconsin",20485,20472,20643
"Jefferson County, Wisconsin",84733,85049,84769
"Juneau County, Wisconsin",26460,26593,26687
"Kenosha County, Wisconsin",168356,168926,169561
"Kewaunee County, Wisconsin",20401,20395,20434
"La Crosse County, Wisconsin",118033,118041,118016
"Lafayette County, Wisconsin",16689,16672,16665
"Langlade County, Wisconsin",19175,19236,19189
"Lincoln County, Wisconsin",27751,27673,27593
"Manitowoc County, Wisconsin",79099,79015,78981
"Marathon County, Wisconsin",135452,135421,135692
"Marinette County, Wisconsin",40300,40402,40350
"Marquette County, Wisconsin",15280,15418,15574
"Menominee County, Wisconsin",4599,4595,4556
"Milwaukee County, Wisconsin",950172,946969,945726
"Monroe County, Wisconsin",45715,46141,46253
"Oconto County, Wisconsin",37531,37824,37930
"Oneida County, Wisconsin",35236,35444,35595
"Outagamie County, Wisconsin",185816,186879,187885
"Ozaukee County, Wisconsin",88443,89059,89221
"Pepin County, Wisconsin",7246,7304,7287
"Pierce County, Wisconsin",42016,42592,42754
"Polk County, Wisconsin",43397,43568,43783
"Portage County, Wisconsin",70565,70850,70772
"Price County, Wisconsin",13380,13357,13351
"Racine County, Wisconsin",195825,196357,196311
"Richland County, Wisconsin",17517,17397,17252
"Rock County, Wisconsin",162205,162874,163354
"Rusk County, Wisconsin",14148,14110,14178
"St. Croix County, Wisconsin",88560,89688,90687
"Sauk County, Wisconsin",63967,64318,64442
"Sawyer County, Wisconsin",16367,16464,16558
"Shawano County, Wisconsin",40846,40771,40899
"Sheboygan County, Wisconsin",115089,115233,115340
"Taylor County, Wisconsin",20314,20364,20343
"Trempealeau County, Wisconsin",29372,29494,29649
"Vernon County, Wisconsin",30702,30772,30822
"Vilas County, Wisconsin",21684,21928,22195
"Walworth County, Wisconsin",102850,103550,103868
"Washburn County, Wisconsin",15739,15837,15720
"Washington County, Wisconsin",134930,135445,136034
"Waukesha County, Wisconsin",400899,402522,404198
"Waupaca County, Wisconsin",51118,51130,50990
"Waushara County, Wisconsin",24193,24267,24443
"Winnebago County, Wisconsin",170394,170878,171907
"Wood County, Wisconsin",73038,72954,72999
"Albany County, Wyoming",38459,38728,38880
"Big Horn County, Wyoming",11859,11877,11790
"Campbell County, Wyoming",46402,46299,46341
"Carbon County, Wyoming",15252,14879,14800
"Converse County, Wyoming",13733,13658,13822
"Crook County, Wyoming",7397,7445,7584
"Fremont County, Wyoming",39818,39561,39261
"Goshen County, Wyoming",13361,13292,13211
"Hot Springs County, Wyoming",4686,4568,4413
"Johnson County, Wyoming",8447,8446,8445
"Laramie County, Wyoming",98377,98865,99500
"Lincoln County, Wyoming",19278,19445,19830
"Natrona County, Wyoming",79586,79175,79858
"Niobrara County, Wyoming",2392,2400,2356
"Park County, Wyoming",29194,29210,29194
"Platte County, Wyoming",8541,8516,8393
"Sheridan County, Wyoming",30147,30219,30485
"Sublette County, Wyoming",9745,9798,9831
"Sweetwater County, Wyoming",43464,42858,42343
"Teton County, Wyoming",23384,23269,23464
"Uinta County, Wyoming",20431,20292,20226
"Washakie County, Wyoming",8010,7877,7805
"Weston County, Wyoming",6968,6924,6927
