,EVENT_ID,STATE
1782,807792,NEW JERSEY
1783,807794,NEW JERSEY
1784,836841,FLORIDA
1785,836860,Florida
1786,836867,FLORIDA
1787,836868,FLORIDA
1788,836869,FLORIDA
1789,836870,FLORIDA
1790,836875,FLORIDA
1791,836880,FLORIDA
1792,821408,MONTANA
1793,821409,MONTANA
1794,821410,MONTANA
1795,827275,MONTANA
1796,827276,MONTANA
1797,827278,MONTANA
1798,827413,MONTANA
1800,812883,ALABAMA
1801,836889,FLORIDA
1802,836891,FLORIDA
1803,836892,FLORIDA
1806,818651,MONTANA
1807,818652,MONTANA
1808,818653,MONTANA
1809,818654,MONTANA
1810,819616,MONTANA
1811,818483,PENNSYLVANIA
1812,818484,PENNSYLVANIA
1817,826787,GEORGIA
1818,826788,ATLANTIC SOUTH
1819,826995,ATLANTIC SOUTH
1820,826997,ATLANTIC SOUTH
1821,827016,ATLANTIC SOUTH
1822,827018,ATLANTIC SOUTH
1825,818486,PENNSYLVANIA
1826,818487,PENNSYLVANIA
1834,835169,TEXAS
1835,847667,VIRGINIA
1836,847668,VIRGINIA
1840,818488,PENNSYLVANIA
1841,818493,PENNSYLVANIA
1843,827417,MONTANA
1844,827418,MONTANA
1845,827419,MONTANA
1846,827420,MONTANA
1847,827421,MONTANA
1848,827422,MONTANA
1849,827423,Montana
1850,827424,Montana
1851,806180,ALABAMA
1852,806181,ALABAMA
1853,807755,PENNSYLVANIA
1854,807756,PENNSYLVANIA
1855,807757,PENNSYLVANIA
1856,807758,PENNSYLVANIA
1857,807759,Pennsylvania
1859,818496,Pennsylvania
1860,818515,PENNSYLVANIA
1867,827026,FLORIDA
1868,827027,FLORIDA
1869,827028,FLORIDA
1872,818519,PENNSYLVANIA
1877,811696,PENNSYLVANIA
1878,811697,PENNSYLVANIA
1879,811698,Pennsylvania
1882,818522,PENNSYLVANIA
1883,818524,PENNSYLVANIA
1884,818526,PENNSYLVANIA
1886,811702,PENNSYLVANIA
1887,807770,New Jersey
1888,807771,New Jersey
1889,807772,NEW JERSEY
1890,807773,NEW JERSEY
1891,807774,New Jersey
1892,807776,NEW JERSEY
1893,807777,NEW JERSEY
1894,807778,NEW JERSEY
1895,819088,ATLANTIC SOUTH
1896,824366,PENNSYLVANIA
1897,824382,PENNSYLVANIA
1898,824396,PENNSYLVANIA
1899,807779,NEW JERSEY
1900,807780,NEW JERSEY
1901,807781,NEW JERSEY
1902,807782,NEW JERSEY
1903,807783,New Jersey
1904,807786,NEW JERSEY
1905,807787,NEW JERSEY
1907,811224,Ohio
1908,811227,OHIO
1909,814047,INDIANA
1910,814055,Ohio
1911,814058,OHIO
1914,816609,IOWA
1916,816614,NEBRASKA
1917,816615,NEBRASKA
1919,840114,KANSAS
1920,818835,TENNESSEE
1921,818834,TENNESSEE
1922,818836,TENNESSEE
1928,816162,OHIO
1929,816164,OHIO
1930,816165,OHIO
1931,816234,OHIO
1932,818919,MONTANA
1934,825502,GULF OF MEXICO
1935,825503,GULF OF MEXICO
1936,825510,GULF OF MEXICO
1937,832132,TEXAS
1938,832135,TEXAS
1939,823751,GEORGIA
1942,816984,NEBRASKA
1943,816985,NEBRASKA
1944,816987,NEBRASKA
1945,816989,NEBRASKA
1946,829881,NEBRASKA
1949,817055,WASHINGTON
1950,818832,TENNESSEE
1951,816151,KENTUCKY
1952,816154,KENTUCKY
1953,816157,OHIO
1954,816158,OHIO
1955,816161,OHIO
1960,816664,IOWA
1963,816608,NEBRASKA
1965,818594,ATLANTIC SOUTH
1966,816616,NEBRASKA
1967,816617,NEBRASKA
1968,816618,NEBRASKA
1969,816619,NEBRASKA
1970,816621,NEBRASKA
1971,816622,NEBRASKA
1972,816623,NEBRASKA
1973,816624,NEBRASKA
1974,816626,Nebraska
1975,816628,NEBRASKA
1979,832949,Nebraska
1981,823747,SOUTH CAROLINA
1985,822353,ATLANTIC SOUTH
1987,818918,MONTANA
1994,816983,NEBRASKA
1995,817297,IDAHO
1996,818830,TENNESSEE
1997,856709,Minnesota
1998,856735,SOUTH DAKOTA
2000,856737,SOUTH DAKOTA
2002,814078,OHIO
2003,814081,OHIO
2004,814082,OHIO
2005,814084,OHIO
2006,816673,IOWA
2007,816676,IOWA
2009,811222,INDIANA
2010,856697,MINNESOTA
2011,856706,MINNESOTA
2012,815202,NEBRASKA
2017,811216,Kentucky
2018,811217,KENTUCKY
2019,811218,OHIO
2020,811219,OHIO
2021,811220,INDIANA
2026,815201,IOWA
2031,848645,Idaho
2032,848653,IDAHO
2033,848655,IDAHO
2034,832145,TEXAS
2035,832497,TEXAS
2036,832498,Texas
2037,863830,TEXAS
2038,851423,TEXAS
2039,853617,TEXAS
2044,818916,MONTANA
2046,816239,INDIANA
2047,816332,OHIO
2048,816333,OHIO
2049,856477,TEXAS
2050,818926,MONTANA
2051,818960,MONTANA
2052,856502,TEXAS
2053,808891,TEXAS
2054,808892,Texas
2055,808893,TEXAS
2057,818917,MONTANA
2058,856503,TEXAS
2059,811703,PENNSYLVANIA
2060,811704,PENNSYLVANIA
2061,811705,PENNSYLVANIA
2062,808895,TEXAS
2068,811709,MARYLAND
2070,816347,OHIO
2071,816348,OHIO
2072,816349,OHIO
2073,816350,OHIO
2074,816337,OHIO
2075,816340,Ohio
2076,808889,LOUISIANA
2077,808890,ARKANSAS
2078,808894,TEXAS
2079,808896,TEXAS
2081,812121,MISSISSIPPI
2082,812122,TENNESSEE
2084,818932,MONTANA
2085,818921,MONTANA
2100,811706,PENNSYLVANIA
2101,811707,PENNSYLVANIA
2116,808298,GULF OF MEXICO
2118,808310,GULF OF MEXICO
2119,811432,FLORIDA
2120,811493,FLORIDA
2121,805149,CALIFORNIA
