,EVENT_ID,COUNTY
1670,824355,LEBANON
1671,818552,LANCASTER
1672,824357,LANCASTER
1677,818436,MIFFLIN
1678,819085,Brevard
1679,818538,FRANKLIN
1680,818541,FRANKLIN
1682,847669,JAMES CITY
1683,847670,NORTHUMBERLAND
1684,847671,LANCASTER
1685,847672,NORTHUMBERLAND
1686,837351,
1687,837352,COLUMBIA
1688,837353,CHARLTON
1690,818399,MUSSELSHELL
1691,818400,MUSSELSHELL
1692,818402,MUSSELSHELL
1693,818404,MUSSELSHELL
1694,818405,PARK
1697,807764,SUSSEX
1698,807765,SUSSEX
1699,807766,SUSSEX
1700,807767,CECIL
1701,819087,Brevard
1714,847673,MIDDLESEX
1715,847674,BERTIE
1716,847675,NORTHAMPTON
1717,847682,Newport News City
1718,827029,DUVAL
1719,827030,DUVAL
1720,827031,DUVAL
1721,827033,Duval
1722,827034,Duval
1723,836822,FLAGLER
1724,836823,MARION
1725,836824,FLAGLER
1726,826776,SUWANNEE
1727,826777,ST. JOHNS
1728,826778,ST. JOHNS
1729,826779,ALACHUA
1731,837339,CLAY
1732,837340,CLAY
1733,837341,ST. JOHNS
1734,837343,MARION
1735,819626,MUSSELSHELL
1736,819627,MUSSELSHELL
1737,819628,YELLOWSTONE
1738,819876,ROSEBUD
1739,819953,SHERIDAN
1740,845654,COWLEY
1741,845655,LABETTE
1742,845656,LABETTE
1743,845657,MONTGOMERY
1744,845658,MONTGOMERY
1745,845959,ALLEN
1746,807754,PHILADELPHIA
1749,818470,FRANKLIN
1750,818471,FRANKLIN
1751,836825,DUVAL
1752,836826,DUVAL
1753,836827,FLAGLER
1754,836828,DUVAL
1755,836840,ALACHUA
1756,826785,DUVAL
1757,819954,SHERIDAN
1758,821403,GOLDEN VALLEY
1759,821404,BIG HORN
1760,821405,TREASURE
1761,821407,YELLOWSTONE
1766,812881,MORGAN
1767,837344,MARION
1768,837346,MARION
1769,837347,FLAGLER
1770,837348,BRADFORD
1772,807760,SUSSEX
1773,807762,KENT
1774,807761,NEW CASTLE
1775,807763,NEW CASTLE
1776,835164,VAL VERDE
1777,835165,EDWARDS
1779,807788,MIDDLESEX
1780,807790,MERCER
1781,807789,MONMOUTH
1782,807792,MONMOUTH
1783,807794,OCEAN
1784,836841,ALACHUA
1785,836860,NASSAU
1786,836867,GILCHRIST
1787,836868,GILCHRIST
1788,836869,MARION
1789,836870,MARION
1790,836875,BAKER
1791,836880,SUWANNEE
1792,821408,YELLOWSTONE
1793,821409,ROSEBUD
1794,821410,YELLOWSTONE
1795,827275,WHEATLAND
1796,827276,GOLDEN VALLEY
1797,827278,WHEATLAND
1798,827413,YELLOWSTONE
1800,812883,MORGAN
1801,836889,CLAY
1802,836891,ST. JOHNS
1803,836892,ST. JOHNS
1806,818651,POWDER RIVER
1807,818652,POWDER RIVER
1808,818653,CARTER
1809,818654,CARTER
1810,819616,YELLOWSTONE
1811,818483,CAMBRIA
1812,818484,LANCASTER
1817,826787,PIERCE
1818,826788,Duval
1819,826995,Flagler
1820,826997,Flagler
1821,827016,Flagler
1822,827018,Duval
1825,818486,LANCASTER
1826,818487,LEBANON
1834,835169,UVALDE
1835,847667,DINWIDDIE
1836,847668,SUSSEX
1840,818488,LANCASTER
1841,818493,TIOGA
1843,827417,SWEET GRASS
1844,827418,YELLOWSTONE
1845,827419,SWEET GRASS
1846,827420,SWEET GRASS
1847,827421,STILLWATER
1848,827422,POWDER RIVER
1849,827423,SWEET GRASS
1850,827424,STILLWATER
1851,806180,MORGAN
1852,806181,MORGAN
1853,807755,PHILADELPHIA
1854,807756,DELAWARE
1855,807757,PHILADELPHIA
1856,807758,PHILADELPHIA
1857,807759,PHILADELPHIA
1859,818496,LYCOMING
1860,818515,CUMBERLAND
1867,827026,MARION
1868,827027,MARION
1869,827028,BAKER
1872,818519,UNION
1877,811696,MONTGOMERY
1878,811697,MONTGOMERY
1879,811698,MONTGOMERY
1882,818522,SNYDER
1883,818524,BLAIR
1884,818526,FRANKLIN
1886,811702,MONTGOMERY
1887,807770,CAMDEN
1888,807771,HUNTERDON
1889,807772,CAMDEN
1890,807773,GLOUCESTER
1891,807774,MERCER
1892,807776,MERCER
1893,807777,GLOUCESTER
1894,807778,BURLINGTON
1895,819088,Brevard
1896,824366,LEBANON
1897,824382,JUNIATA
1898,824396,PERRY
1899,807779,BURLINGTON
1900,807780,MERCER
1901,807781,MIDDLESEX
1902,807782,MERCER
1903,807783,MERCER
1904,807786,MIDDLESEX
1905,807787,MERCER
1907,811224,BUTLER
1908,811227,PREBLE
1909,814047,RIPLEY
1910,814055,SHELBY
1911,814058,AUGLAIZE
1914,816609,MONTGOMERY
1916,816614,SAUNDERS
1917,816615,BUTLER
1919,840114,FRANKLIN
